source,type,department,bu_cost_center,billed_cost_center,cost_center,business_unit,business_internal,revenue_type,cc_costs_type,bu_costs_type,client,client_status,pm,sm,project_id,project,project_status,category,detail,media_type,paid_by,month,year,duzp,cf_date,dph_date,id_mediaplan,mediaplan,invoice_number,invoice_issue_date,invoice_due_date,invoice_payment_date,forecast_level,main_status,finance_status,cf_status,probability,hours,firma,industry,cost_category,fc_source,fc_source_prepayments,client_logo,pm_email,pm_picture,price_fc_revenues,price_fc_revenues_prepayments,price_fc_costs,price_fc_costs_prepayments,price_bp_revenues,price_bp_revenues_prepayments,price_bp_costs,price_bp_costs_prepayments,price_bp_revised_revenues,price_bp_revised_revenues_prepayments,price_bp_revised_costs,price_bp_revised_costs_prepayments,price_real_revenues,price_real_revenues_prepayments,price_real_revenues_findb,price_real_costs,forecast_fc_revenues,forecast_fc_revenues_prepayments,forecast_fc_costs,forecast_fc_costs_prepayments,forecast_fc_revenue_cm,forecast_fc_costs_cm,forecast_fc_real_up_to_date_revenues,forecast_fc_real_up_to_date_revenues_prepayments,price_fc_real_up_to_date_revenues_prepayments,forecast_fc_real_up_to_date_costs,forecast_fc_real_up_to_date_costs_prepayments,price_fc_real_up_to_date_costs_prepayments
Mediaplán (CMP) - Závazky,Costs,,,,,BU3,Business,,,,-,Potential,-,-,7840001,-,ne,služby,,,MUP,3,2027,2027-03-01,2027-05-01,2027-03-01,14834,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Consumer Goods (apart from FMCG),Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,9999.9999999999964,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU3,Business,,,,-,Potential,-,-,7840001,-,ne,média,,,MUP,3,2027,2027-03-01,2027-05-01,2027-03-01,14834,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Consumer Goods (apart from FMCG),Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,40000,,,,,,
Mediaplán (CMP) - Fakturace,Revenue,,,,,BU3,Business,Neproduktivní revenue,,,-,Potential,-,-,7840001,-,ne,média,,,MUP,3,2027,2027-03-01,2027-05-09,2027-03-01,14834,-,,2027-04-01,2027-04-30,,1,Forecast,Plán - CMP,Pohledávky - plán,0.3,,,Consumer Goods (apart from FMCG),,CM,CM,-,-,-,133333.33333333334,133333.33333333334,,,,,,,,,,,,,,,40000,40000,,,40000,,40000,40000,133333.33333333334,,,
Mediaplán (CMP) - Fakturace,Revenue,,,,,BU3,Business,Produktivní revenue,,,-,Potential,-,-,7840001,-,ne,služby,,,MUP,3,2027,2027-03-01,2027-05-09,2027-03-01,14834,-,,2027-04-01,2027-04-30,,1,Forecast,Plán - CMP,Pohledávky - plán,0.3,,,Consumer Goods (apart from FMCG),,CM,CM,-,-,-,33333.333333333321,33333.333333333321,,,,,,,,,,,,,,,9999.9999999999964,9999.9999999999964,,,9999.9999999999964,,9999.9999999999964,9999.9999999999964,33333.333333333321,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU3,Business,,,,-,Potential,-,-,7840001,-,ne,služby,,,MUP,2,2027,2027-02-01,2027-04-01,2027-02-01,14834,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Consumer Goods (apart from FMCG),Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,9999.9999999999964,,,,,,
Mediaplán (CMP) - Fakturace,Revenue,,,,,BU3,Business,Produktivní revenue,,,-,Potential,-,-,7840001,-,ne,služby,,,MUP,2,2027,2027-02-01,2027-04-12,2027-02-01,14834,-,,2027-03-01,2027-04-03,,1,Forecast,Plán - CMP,Pohledávky - plán,0.3,,,Consumer Goods (apart from FMCG),,CM,CM,-,-,-,33333.333333333321,33333.333333333321,,,,,,,,,,,,,,,9999.9999999999964,9999.9999999999964,,,9999.9999999999964,,9999.9999999999964,9999.9999999999964,33333.333333333321,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU3,Business,,,,-,Potential,-,-,7840001,-,ne,média,,,MUP,2,2027,2027-02-01,2027-04-01,2027-02-01,14834,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Consumer Goods (apart from FMCG),Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,40000,,,,,,
Mediaplán (CMP) - Fakturace,Revenue,,,,,BU3,Business,Neproduktivní revenue,,,-,Potential,-,-,7840001,-,ne,média,,,MUP,2,2027,2027-02-01,2027-04-12,2027-02-01,14834,-,,2027-03-01,2027-04-03,,1,Forecast,Plán - CMP,Pohledávky - plán,0.3,,,Consumer Goods (apart from FMCG),,CM,CM,-,-,-,133333.33333333334,133333.33333333334,,,,,,,,,,,,,,,40000,40000,,,40000,,40000,40000,133333.33333333334,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,datové produkty,Product,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,1714.2857142857138,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,zisk z médií,Meta,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
